,TotalPop,TPopMargin,UnWgtSampleCtPop,PerCapitaIncome,PerCapIncMargin,MedianHouseholdInc,MedHouseholdIncMargin,MedianAge,MedianAgeMargin,HousingUnits,HousingUnitsMargin,UnweightedSampleHousingUnits,State,County,Tract,BlockGroup,Year
192,4460.0,697.0,199.0,48003.0,10503.0,53052.0,24702.0,37.1,3.0,2643.0,188.0,132.0,11,1,5000,2,2009
193,1545.0,417.0,95.0,66942.0,14054.0,91250.0,22308.0,32.9,2.0,984.0,171.0,59.0,11,1,5000,3,2009
194,744.0,258.0,49.0,70356.0,38451.0,65438.0,16027.0,41.4,4.8,469.0,115.0,28.0,11,1,5000,4,2009
195,1186.0,208.0,92.0,58791.0,9398.0,53210.0,5122.0,33.8,2.2,1069.0,58.0,82.0,11,1,5100,1,2009
196,3880.0,407.0,234.0,72749.0,10321.0,59948.0,7119.0,35.7,1.3,3126.0,198.0,182.0,11,1,5201,1,2009
197,1061.0,177.0,71.0,79230.0,13538.0,88036.0,21940.0,37.2,5.9,951.0,170.0,58.0,11,1,5201,2,2009
198,572.0,109.0,48.0,30573.0,5034.0,39000.0,14258.0,29.3,1.1,469.0,57.0,36.0,11,1,5202,1,2009
199,2060.0,312.0,118.0,74863.0,6731.0,88990.0,8648.0,33.1,2.7,1482.0,176.0,91.0,11,1,5301,1,2009
200,3573.0,1513.0,143.0,58499.0,24823.0,77460.0,10911.0,42.8,6.2,2089.0,184.0,108.0,11,1,5301,2,2009
201,167.0,74.0,15.0,86909.0,21462.0,109545.0,40673.0,41.6,16.5,155.0,33.0,14.0,11,1,5302,1,2009
202,1236.0,194.0,121.0,68498.0,19464.0,52000.0,9080.0,27.8,3.0,1000.0,65.0,85.0,11,1,5401,1,2009
203,0.0,132.0,,,,,,,,0.0,132.0,,11,1,5402,1,2009
