,Description,ID,Latitude,Longitude,Station_Entrance,StationCode1,StationCode2,census_block,census_blockgroup,census_tract,census_index
44,Street level elevator to station platform( to Glenmont)  is located between F St NW and E St NW.,50,38.896652,-77.017649,NORTHWEST ELEVATOR ENTRANCE (SW CORNER METRO JUDICIARY SQUARE BETWEEN F & E STs),B02,,1026,1,005900,0059001
45,Station entrance from F St NW located across from national building museum.,51,38.897178000000004,-77.01755899999999,"NORTH ENTRANCE (F ST EXIT, NATIONAL BUILDING MUSEUM)",B02,,1026,1,005900,0059001
46,Station entrance from 4th St NW segment between F St NW and E St NW.,52,38.895222,-77.016,SOUTH ENTRANCE (4TH & D STs),B02,,1028,1,005900,0059001
47,"Escalator entrance from the passageway to  AMTRAK, MARC, VRE TRAINS",53,38.898540999999994,-77.006984,"ENTRANCE FROM AMTRAK, MARC, VRE TRAINS",B03,,2034,2,010600,0106002
48,Station entrance from 1st St NE to southeast corner of the Union station building.,54,38.897383000000005,-77.007262,"SOUTH ENTRANCE (MASS AVE EXIT, NORTHEAST CORNER OF 1ST ST & MASSACHUSETTS AVE)",B03,,2034,2,010600,0106002
49,Station entrance from northeast corner of Massachusetts Ave NE and 1st NE.,55,38.89845,-77.007243,"NORTH ENTRANCE (1ST ST EXIT, WEST SIDE OF 1ST ST BETWEEN G ST AND MASSACHUSETTS AVE)",B03,,2034,2,010600,0106002
50,Elevator entrance from northwest corner of bus bay and from Bunker Hill Rd NE.,57,38.933748,-76.994426,ELEVATOR ENTRANCE (9TH ST NE & BUNKER HILL RD NE),B05,,2004,2,009301,0093012
51,Escalator and stairway entrance from bus bay at 9th St NE between Bunker Hill Rd NE and Monroe St NE.,58,38.933504,-76.994341,EAST ENTRANCE (9TH ST NE & MONROE ST NE),B05,,2004,2,009301,0093012
52,"Canopied escalator and stairway entrance by walkway from John F. McCormick Rd NE, west of Michigan Ave NE.",59,38.93383,-76.995024,WEST ENTRANCE (JOHN F MCCORMACK RD NE & MICHIGAN AVE NE),B05,,3012,3,009501,0095013
53,"Facility entrance from the Galloway St NE segment goes under the track, and also accessible from kiss&ride and bus bay area.",60,38.952078,-77.002275,MAIN ENTRANCE (GALLOWAY ST & FIRST PL),B06,E06,1012,1,009508,0095081
54,Elevator to station is located inside the tunnel and  is accessible from  parking lot and  bus bay.,61,38.975839,-77.017831,ELEVATOR ENTRANCE (NORTHWEST OF CEDAR ST & CARROL AVE),B07,,2000,2,001702,0017022
55,Station entrance from north of Colesville Road and west of 2nd Ave to station northeast side.,63,38.994243,-77.031654,NORTHEAST ENTRANCE (NORTHEAST CORNER OF COLESVILLE RD & E-WEST HWY),B08,,2004,2,702500,7025002
56,Station entrance from north of Colesville Road and east of East-West Hwy to station northwest side.,64,38.994093,-77.03185400000001,NORTHWEST ENTRANCE (NORTHEAST CORNER OF COLESVILLE RD & E-WEST HWY),B08,,2004,2,702500,7025002
57,Walkway from Wayne Ave and Colesville Rd to south side of the station.,65,38.993832,-77.031116,SOUTHEAST ENTRANCE (SOUTHWEST OF WAYNE AVE & COLESVILLE RD),B08,,4003,4,702500,7025004
58,Station entrance from south of Colesville Road and east of East-West Hwy to station southwest side.,66,38.993739,-77.031348,SOUTHWEST ENTRANCE (SOUTHEAST CORNER OF COLESVILLE RD & E-WEST HWY),B08,,4003,4,702500,7025004
59,Stairway entrance into main entrance passageway from southeast corner of Coleridge Dr/Forest Glen Rd.,67,39.015326,-77.04364699999999,STAIRWAY ENTRANCE (FROM SE CORNER OF COLERIDGE DR/FOREST GLEN RD),B09,,4030,4,704000,7040004
60,Passageway to station from the bus bay area located southwest corner of Georgia Ave and Reedie Dr and is also reachable by the pedestrian bridge over Veirs Mill Rd.,69,39.038319,-77.051086,WEST ENTRANCE (NORTHWEST OF VEIRS RD & GEORGIA AVE),B10,,1026,1,703800,7038001
61,Station entrance from the building located at the southeast corner of Georgia Ave and Reedie Dr.,70,39.038671,-77.050275,"EAST ENTRANCE (EAST SIDE GEORGIA, SOUTHEAST CORNER OF GEORGIA AVE & REEDIE DR)",B10,,1028,1,703800,7038001
62,"Street level elevator from east of Georgia Ave, and is accessible from Glenallan Ave to the metered parking space and parking garage.",71,39.062246,-77.053358,EAST ELEVATOR ENTRANCE (EAST SIDE OF GEORGIA AVE FROM LAYHILL RD),B11,,1009,1,703206,7032061
63,Street level elevator from west from Georgia Ave next to metered parking area.,72,39.061956,-77.05360999999999,WEST ELEVATOR ENTRANCE (WEST SIDE OF GEORGIA AVE FROM GLENALLAN AVE),B11,,3000,3,703403,7034033
64,Station entrance from west of Georgia Ave and is accessible from Georgia Ave sidewalks and  from Urbana Dr and Flack St walkway to the station.,74,39.061783,-77.053599,WEST ENTRANCE (WEST SIDE OF GEORGIA AVE FROM GLENALLAN AVE),B11,,3000,3,703403,7034033
65,Station entrance is located at the northwest corner of M St NE and 2nd St NE ( M St Exit).,76,38.905774,-77.003629,"SOUTH ENTRANCE (M ST EXIT, WEST M & 2ND STs)",B35,,2004,2,010600,0106002
66,Escalator to station from northeast corner of 12th St NW and G St NW.,78,38.898498,-77.02790300000001,NORTH ENTRANCE (12TH & G STs) TO ORANGE/BLUE LINES,C01,A01,1011,1,005800,0058001
67,Escalator to station from the building located at the southeast corner of 12th St NW and F St NW.,79,38.897147,-77.02856700000001,SOUTH ENTRANCE (12TH & F STs) TO ORANGE/BLUE LINES,C01,A01,1034,1,005800,0058001
68,Building entrance from north mezzanine to Macy's entrance.,80,38.898984999999996,-77.028228,NORTH BUILDING ENTRANCE (MACY'S) TO ORANGE/BLUE LINES,C01,A01,1010,1,005800,0058001
69,Building entrance to elevator towards the station is located at the southwest corner of I St NW and 14th St NW.,81,38.901098,-77.032303,EAST ELEVATOR ENTRANCE (14TH & I STs),C02,,1018,1,010100,0101001
70,Building entrance from east mezzanine to 1400 Eye St NW office building entrance.,82,38.901142,-77.032318,EAST BUILDING ENTRANCE (1400 EYE ST NW),C02,,1018,1,010100,0101001
71,Building entrance from the southwest corner of 14th St NW and I St NW  to the station escalator.,83,38.900915000000005,-77.03222199999999,EAST ENTRANCE (14TH & I STs),C02,,1018,1,010100,0101001
72,Entrance elevator is located at the northwest corner of 18th St NW and I St NW.,85,38.901502,-77.041888,WEST ELEVATOR ENTRANCE (WEST OF 17th & I STs),C03,,1017,1,010700,0107001
73,Building entrance from the southeast corner of 17th St NW and I St NW(Escalator only).,86,38.901169,-77.039164,EAST ENTRANCE (EAST OF 17th & I STs),C03,,1025,1,010700,0107001
74,"Station entrance escalator is located in the building courtyard, at the northwest corner of 18 St NW and I St NW.",87,38.901621999999996,-77.041965,WEST ENTRANCE (WEST OF 17th & I STs),C03,,1017,1,010700,0107001
75,Station entrance escalator is located in the building (International Square) food court,88,38.90149,-77.04205400000001,WEST ENTRANCE 2(BUIDLING INTERIOR),C03,,1017,1,010700,0107001
76,Station entrance from the northwest corner of 23rd St NW and I St NW (south end of George Washington University Hospital building).,90,38.900866,-77.050371,MAIN ENTRANCE (23RD & I STs),C04,,4006,4,005600,0056004
77,"Street level high-speed elevator entrance, accessible from N. Lynn St and N.Moore St sidewalks.",91,38.895987,-77.071402,EAST ELEVATOR STREET ENTRANCE (BETWEEN N MOORE ST & N LYNN ST),C05,,3007,3,101603,1016033
78,Building entrance from N. Fort Myer Dr segment between N. Nash St and Wilson Blvd is accessible by N. Fort Myer Dr sidewalks.,93,38.895807,-77.07210500000001,"WEST ENTRANCE (FT. MAYER DR EXIT, BUILDING ENTRANCE FROM N FT. MAYER DR BETWEEN N NASH ST AND WILSON BLVD)",C05,,3006,3,101603,1016033
79,Elevator entrance from Memorial Dr (between Jefferson Davis Hwy and rail tracks).,95,38.884719,-77.063338,WEST ELEVATOR ENTRANCE (MEMORIAL DR & JEFFERSON HWY),C06,,1015,1,980100,9801001
80,Escalator entrance from the west side of Memorial Dr where it crosses over Jefferson Davis Hwy.,96,38.884510999999996,-77.063761,NORTH ENTRANCE (NORTH OF MEMORIAL DR & JEFFERSON HWY),C06,,1015,1,980100,9801001
81,Escalator entrance from the east side of Memorial Dr where it crosses over Jefferson Davis Hwy.,97,38.884168,-77.063556,SOUTH ENTRANCE (SOUTH OF MEMORIAL DR & JEFFERSON HWY),C06,,1019,1,980100,9801001
82,Steet level elevator to station is accessible from bus bay area sidewalks.,98,38.869591,-77.053838,ELEVATOR ENTRANCE (NE OF S EADS ST),C07,,1107,1,980100,9801001
83,Station entrance at the north side of bus bay accessible from the bus bay area sidewalks.,99,38.869772999999995,-77.05351999999999,EAST ENTRANCE (NE OF S EADS ST),C07,,1107,1,980100,9801001
84,Station entrance at the south side of bus bay accessible from the bus bay area sidewalks.,100,38.869037,-77.054509,"SOUTH ENTRANCE (SW OF S EADS ST, NE OF N ROTARY RD)",C07,,1107,1,980100,9801001
85,Street level elevator located at the southeast corner of Hayes St and 12th St next to escalator.,101,38.862809999999996,-77.058954,EAST ELEVATOR ENTRANCE (SE CORNER OF 12th & HAYES STs),C08,,1003,1,103502,1035021
86,Canopied entrance in front of Pentagon Center(Borders Store) building located southeast corner of Hayes St and 12th St.,102,38.862548,-77.059105,"EAST ENTRANCE (E SIDE HAYES EXIT, SE CORNER OF 12th & HAYES STs)",C08,,1003,1,103502,1035021
87,"Canopied entrance between S.Hayes St and service road to the stores(Nordstrom, Macy's).",103,38.862615000000005,-77.05990899999999,"WEST ENTRANCE (W SIDE HAYES EXIT, BETWEEN SERVICE RD & HAYES STs)",C08,,1002,1,103502,1035021
88,Entrance elevator located at the right side of 18th St South segment between S. Bell St and Crystal Dr.,104,38.857962,-77.050786,WEST ELEVATOR ENTRANCE (WEST OF 18th & CRYSTAL DR),C09,,1008,1,103402,1034021
89,Canopied entrance is accessible from the sidewalks from 18th St South.,105,38.858038,-77.051472,MAIN ENTRANCE (CLARK & 18th STs),C09,,1008,1,103402,1034021
90,Entrance from north side intermediate passageway to mezzanine,106,38.858059000000004,-77.051158,CRYSTAL CITY SHOP ENTRANCE  (NORTH ),C09,,1008,1,103402,1034021
91,Street level elevator to station platform,108,38.853463,-77.044086,ELEVATOR ENTRANCE FROM STREET BELOW THE TRACKS,C10,,1013,1,980200,9802001
92,Pedestrian bridge to station south entrance is accessible from parking garage-B and airport terminal-B,110,38.852340000000005,-77.043571,SOUTH ENTRANCE (SOUTH EXIT TO TERMINAL B AND PARKING GARAGE B),C10,,1013,1,980200,9802001
